,artist_names,track_name,weeks_on_chart
198,Wet Bed Gang,Devia Ir,208
199,Luis Miguel,La Incondicional,208
200,"December Avenue, Moira Dela Torre",Kung 'Di Rin Lang Ikaw,208
201,Eason Chan,明年今日,207
202,Troye Sivan,Strawberries & Cigarettes,206
203,Calum Scott,Dancing On My Own,206
204,Fourtwnty,Fana Merah Jambu,206
205,Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,206
206,Karen Mok,Growing Fond of You,205
207,Leo Ku,Unique Skill,204
208,"Bonez MC, RAF Camora",500 PS,204
209,Lynyrd Skynyrd,Sweet Home Alabama,203
210,Letto,Ruang Rindu,202
211,Waa Wei,"only you - Insert Song of ""Yong-Jiu Grocery Store""",202
212,"XXXTENTACION, Trippie Redd",Fuck Love (feat. Trippie Redd),202
213,RubberBand,未來見,201
214,Hale,The Day You Said Goodnight,201
215,"Zac Efron, Zendaya",Rewrite The Stars,201
216,Eason Chan,歲月如歌,201
217,"Nik Tendo, Hasan",Sedm,200
218,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,200
219,EggPlantEgg,浪流連,200
220,Kaan Boşnak,Benimle Kayboldun,200
221,Hafdís Huld,Dvel ég í draumahöll,200
222,Santaferia,Algún Día Volverás,200
223,Joji,YEAH RIGHT,199
224,Post Malone,I Fall Apart,199
225,5MIINUST,Erootika Pood,199
226,Da LAB,Thanh Xuan,199
227,Jay Chou,安靜,198
228,RAN,Dekat Di Hati,198
229,The Goo Goo Dolls,Iris,198
230,Stephen Speaks,Out of My League,198
231,Follow The Flow,Nem tudja senki,198
232,G.E.M.,泡沫,198
233,Vũ.,Đông Kiếm Em,198
234,Joji,SLOW DANCING IN THE DARK,198
235,"Lady Gaga, Bradley Cooper",Shallow,198
236,Duman,Seni Kendime Sakladım,198
237,LANY,Malibu Nights,197
238,Christian Nodal,No Te Contaron Mal,197
239,Safeplanet,คำตอบ,197
240,Coldplay,The Scientist,197
241,Moonstar88,Migraine,196
242,A-Lin,"A Kind of Sorrow - The movie theme song of ""More than Blue""",196
243,The Police,Every Breath You Take,196
244,SIX60,Don't Give It Up,196
245,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,195
246,Jesse McCartney,Beautiful Soul,195
247,DIVOKEJ BILL,Plakala,195
248,Adamlar,Acının İlacı,195
249,Alec Benjamin,Let Me Down Slowly,195
250,Marcell,Takkan Terganti,195
251,"Friðrik Dór, Sverrir Bergmann, Albatross",Ástin á sér stað,194
252,Halsey,Without Me,194
253,Bubbi Morthens,Það er gott að elska,194
254,"The Weeknd, Daft Punk",Starboy,194
255,BTS,DNA,194
256,Superfly,AI WO KOMETE HANATABAWO,194
257,Ufuk Beydemir,Ay Tenli Kadın,194
258,Miriam Yeung,可惜我是水瓶座,194
259,Miley Cyrus,Party In The U.S.A.,193
260,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,192
261,Paulo Londra,Adan y Eva,192
262,Tankcsapda,Mennyország Tourist,192
263,Polycat,เวลาเธอยิ้ม,192
264,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),192
265,Childish Gambino,Redbone,191
266,Rex Orange County,Best Friend,190
267,TheOvertunes,I Still Love You,190
268,Passenger,Let Her Go,190
269,Teoman,Kupa Kızı Ve Sinek Valesi,190
270,Jeremy Zucker,comethru,190
271,Hov1,Hon dansar vidare i livet,190
272,Tuna,גם זה יעבור,189
273,Cartel De Santa,Leve,189
274,Lewis Capaldi,Someone You Loved,189
275,"Friðrik Dór, BRÍET",Hata að hafa þig ekki hér - SAMSUNG SESSJÓN,189
276,Adhitia Sofyan,Sesuatu Di Jogja,189
277,Mario,Let Me Love You,189
278,"Daoko, Kenshi Yonezu",打上花火,189
279,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",188
280,告五人,披星戴月的想你,188
281,Izi,Chic,188
282,"Greeicy, Mike Bahía",Amantes,188
283,Pinhani,Ne Güzel Güldün,187
284,SPITZ,チェリー,187
285,Dolu Kadehi Ters Tut,Yapma N'olursun,187
286,"Jay Chou, Gary Yang",Waiting For You (with Gary Yang),187
287,"Piso 21, Micro TDH",Te Vi,186
288,Fiersa Besari,Garis Terdepan,186
289,Sukima Switch,奏(かなで),186
290,Imagine Dragons,Demons,186
291,DMS,Lepšia Pesnička,186
292,Bad Bunny,Si Estuviésemos Juntos,186
293,Bad Bunny,Otra Noche en Miami,186
294,Idan Raichel,Ve'Eem Tavo'ee Elay (And If You Will Come To Me),186
295,Mrs. GREEN APPLE,僕のこと,185
296,La Vela Puerca,Zafar,185
297,Tulus,Pamit,185
298,Dermot Kennedy,Power Over Me,185
299,"Davina Michelle, Beste Zangers",Duurt Te Lang,185
300,Fourtwnty,Hitam Putih,185
301,Babblarna,Babblarnas vaggvisa,185
302,HY,366日,184
303,ŠKWOR,Síla Starejch Vín,184
304,Yorushika,ただ君に晴れ,184
305,Andrés Calamaro,Flaca,184
306,Kendrick Lamar,HUMBLE.,183
307,Ed Maverick,Fuentes de Ortiz,183
308,Eric Chou,What's Wrong,183
309,Ari Lasso,Hampa,183
310,Silent Sanctuary,Pasensya Ka Na,183
311,Bagossy Brothers Company,Olyan Ő,182
312,Van Morrison,Brown Eyed Girl,182
313,Safeplanet,กอดความเจ็บช้ำ,182
314,Callalily,Magbalik,182
315,The Minds Of 99,Hurtige Hænder - Acoustic Version - Moyo Live P3,182
316,"ChiChi Peralta, Jandy Feliz",Procura,182
317,George Ezra,Shotgun,182
318,Kapitán Demo,Zlatíčka,181
319,SOOBIN,Vai Lan Don Dua,181
320,Gettomasa,Muijii stadis,181
321,Imagine Dragons,Thunder,181
322,"ØZI, 9m88",B.O. (feat. 9m88),181
323,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby,180
324,"Prāta Vētra, Musiqq",Debesis iekrita tevī,180
325,LaLa Hsu,真的傻 (電影《一吻定情》追愛版主題曲),180
326,Zion & Lennox,La player (Bandolera),180
327,"Fiersa Besari, Thantri Sundari",Waktu Yang Salah,180
328,Natos y Waor,Cicatrices,180
329,LANY,ILYSB,180
330,JVG,Ikuinen vappu,179
331,Jessi Uribe,Dulce Pecado,179
332,LANY,13,179
333,Hafdís Huld,Óskasteinar,178
334,DMS,Zlatí a Zároveň Kanál,178
335,C AllStar,Tin Tai,178
336,HONNE,Day 1 ◑,178
337,Aimer,Kataomoi,178
338,Janice Vidal,大哥,178
339,Sticky Fingers,How To Fly,177
340,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),177
341,King Gnu,Hakujitsu,177
342,Hanan Ben Ari,אלוף העולם,177
343,Rels B,A Mí,177
344,Shawn Mendes,Treat You Better,177
345,XXXTENTACION,Hope,177
346,back number,高嶺の花子さん,176
347,"Full Trunk, Sivan Talmor",As a Stone,176
348,"Dave, Burna Boy",Location (feat. Burna Boy),175
349,XXXTENTACION,SAD!,175
350,Lomepal,Trop beau,175
351,"DJ Snake, Justin Bieber",Let Me Love You,174
352,"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob","Duniyaa (From ""Luka Chuppi"")",174
353,The Neighbourhood,Sweater Weather,174
354,"Cem Adrian, Hande Mehan",Sen Benim Şarkılarımsın,174
355,Ed Sheeran,Happier,173
356,XXXTENTACION,Moonlight,173
357,Yo Lee,誰,173
358,Bad Bunny,Estamos Bien,173
359,Omer Adam,שני משוגעים,173
360,Jane Bordeaux,איך אפשר,173
361,Yisa Yu,路過人間,172
362,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal",Pal,172
363,Hafdís Huld,Sofðu unga ástin mín,172
364,Morat,Cuando Nadie Ve,172
365,Yiyo Sarante,Corazon de Acero,172
366,SCRUBB,รอยยิ้ม,172
367,Villa Cariño,Serenata cruel,172
368,Paulo Londra,Tal Vez,172
369,"Los Ángeles Azules, Natalia Lafourcade",Nunca Es Suficiente,172
370,Young Igi,Bestia,172
371,Dillaz,Mo Boy,172
372,Arijit Singh,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",172
373,Fleetwood Mac,The Chain - 2004 Remaster,171
374,Toploader,Dancing in the Moonlight,171
375,Danny Vera,Roller Coaster,171
376,Yaşlı Amca,Giderdi Hoşuma,171
377,"Carlos Vives, Sebastian Yatra",Robarte un Beso,171
378,高爾宣 OSN,Without You,171
379,高爾宣 OSN,Why You Gonna Lie,171
380,Amr Diab,Tamally Maak,171
381,Eden Hason,אין יותר מועדונים,171
382,"5MIINUST, Sass Henno, Jozels",Trenažöör,171
383,Cairokee,Kan Lak Ma'aya (Feat. Umm Kulthum),171
384,"Drake, WizKid, Kyla",One Dance,171
385,Krúbi,Nehézlábérzés,170
386,Follow The Flow,Maradok távol,170
387,"BTS, Halsey",Boy With Luv (feat. Halsey),170
388,"Salmo, NSTASIA",IL CIELO NELLA STANZA (feat. NSTASIA),170
389,Aimyon,Harunohi,170
390,Christian Nodal,De Los Besos Que Te Di,170
391,Luis Miguel,Culpable O No - Miénteme Como Siempre,169
392,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),169
393,Banda Neira,Sampai Jadi Debu (Menampilkan Gardika Gigih),169
394,Official HIGE DANdism,Pretender,169
395,Motohiro Hata,ひまわりの約束,169
396,"Pritam, Arijit Singh",Kalank (Title Track),169
397,No Te Va Gustar,A las Nueve,168
398,Coldplay,Yellow,168
399,ElGrandeToto,7elmetado 2,168
400,老王樂隊,我還年輕 我還年輕,168
401,"Dolu Kadehi Ters Tut, Sedef Sebüktekin",Gitme,168
402,NIKI,lowkey,168
403,Hins Cheung,只是太愛你,168
404,Official HIGE DANdism,115万キロのフィルム,167
405,Bryan Adams,Summer Of '69,167
406,Damso,Θ. Macarena,167
407,"Post Malone, Quavo",Congratulations,167
408,Ben&Ben,Pagtingin,167
409,"PDL, Skusta Clee, Yuridope",Sa Susunod Na Lang,167
410,Hafdís Huld,Litlar stjörnur,167
411,"Herra Hnetusmjör, Ingi Bauer",Upp Til Hópa,167
412,G.E.M.,倒數,167
413,吳青峰,"起风了 - 电视剧""加油你是最棒的""主题曲",167
414,"C. Tangana, ROSALÍA",Antes de Morirme (feat. ROSALÍA),166
415,"Mike Bahía, Greeicy",Esta Noche,166
416,Maninder Buttar,Sakhiyaan,166
417,BLACKPINK,As If It's Your Last,166
418,Sena Şener,Sevmemeliyiz,166
419,be vis,Surfer,166
420,Pedro Suárez-Vértiz,"Un Vino, Una Cerveza",166
421,Morgan Wallen,Whiskey Glasses,166
422,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,165
423,"Hilltop Hoods, Montaigne, Tom Thum",1955,165
424,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,165
425,Fish Leong,慢冷,165
426,"Viktor Sheen, Calin, Hasan, Nik Tendo",Až na měsíc,165
427,Fiersa Besari,April,165
428,Panic! At The Disco,High Hopes,164
429,Train,"Hey, Soul Sister",164
430,Lady Gaga,Always Remember Us This Way,164
431,"MISIA, HIDE (GReeeeN)",Ainokatachi,164
432,Lil Peep,Save That Shit,164
433,Suspekt,Gonzo,164
434,Tones And I,Dance Monkey,164
435,Halott Pénz,Amikor Feladnád,164
436,Gettomasa,Silmät,164
437,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,163
438,Luke Combs,Beautiful Crazy,163
439,Masaki Suda,Machigaisagashi,163
440,"Bad Bunny, Tainy",Callaita,163
441,"Eyal Golan, Benaia Barabi",ממה את מפחדת,163
442,Jarabe De Palo,La flaca,163
443,Chinaski,Každý ráno,162
444,"Arijit Singh, Nikhita Gandhi",Qaafirana,162
445,"Lunay, Daddy Yankee, Bad Bunny",Soltera - Remix,162
446,Ninho,La vie qu'on mène,162
447,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,162
448,"ansis, Kristīne Pāže",Zemes stunda,162
449,"Majka, Curtis, Király Viktor",Füttyös,162
450,XXXTENTACION,the remedy for a broken heart (why am I so in love),161
451,"Petri Nygård, Vesku Jokinen",Nössö,161
452,Queen,Another One Bites The Dust - Remastered 2011,161
453,"Dudu Tassa, Roni Alter",מעליות,161
454,Rocazino,All My Love,161
455,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,161
456,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter",Poesia Acústica #6: Era uma Vez,161
457,Moira Dela Torre,Tagpuan,161
458,Rammstein,Deutschland,161
459,DREAMS COME TRUE,何度でも,161
460,"Romeo Santos, Ozuna",Sobredosis (feat. Ozuna),161
461,Melim,Meu Abrigo,161
462,"DR BRS, Fekete Vonat, Halott Pénz, Monkeyneck",Hol van az a lány,161
463,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",160
464,"5MIINUST, nublu",Aluspükse,160
465,Ariana Grande,7 rings,160
466,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",160
467,"Carlos Baute, Marta Sánchez",Colgando en tus manos (con Marta Sánchez),160
468,"Shawn Mendes, Camila Cabello",Señorita,160
469,"Bad Bunny, Drake",MIA (feat. Drake),160
470,"Pyhimys, Aksel Kankaanranta",Jättiläinen,160
471,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",160
472,"J Balvin, Bad Bunny",LA CANCIÓN,159
473,Reik,Ya Me Enteré,159
474,Ali Gatie,It's You,159
475,"J Balvin, Bad Bunny",QUE PRETENDES,159
476,"TACONAFIDE, Quebonafide, Taco Hemingway, Bedoes",8 kobiet - Remix,159
477,Shota Shimizu,Hanataba No Kawari Ni Melody Wo,159
478,Travis Scott,SICKO MODE,158
479,Silent Sanctuary,Sa'yo,158
480,Callejeros,Creo,158
481,Gasellit,Imus,158
482,AC/DC,Highway to Hell,158
483,Binomio de Oro de América,Olvídala,158
484,Charlie Puth,Attention,158
485,"Ian, Amuly",60 De Zile,158
486,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,158
487,Andiez,1 Phút,158
488,Andmesh,Jangan Rubah Takdirku,158
489,Hafdís Huld,Bíum bíum bambaló,158
490,Adamlar,Sarılırım Birine,158
491,J. Cole,MIDDLE CHILD,158
492,Charmaine Fong,Break Up Rainy Days,157
493,Juicy Luicy,Tanpa Tergesa,157
494,Rahma Riad,Waed Menni,157
495,Elton John,Tiny Dancer,157
496,"BLØF, Geike",Zoutelande - feat. Geike,157
497,"Bebe Rexha, Florida Georgia Line",Meant to Be (feat. Florida Georgia Line),157
498,Dermot Kennedy,Outnumbered,157
499,Tamer Hosny,Nasseeny Leih,156
500,Mrs. GREEN APPLE,インフェルノ,156
501,Pamungkas,I Love You but I'm Letting Go,156
502,九澤CP,天黑請閉眼,156
503,Twenty One Pilots,Stressed Out,156
504,Joey Yung,心之科學,156
505,Juice WRLD,Robbery,156
506,Jam Hsiao,A Love Song For You,156
507,Linkin Park,Numb,156
508,"Virgoun, Audy",Selamat (Selamat Tinggal),156
509,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,156
510,Skinnyfabs,happy,156
511,Fiersa Besari,Celengan Rindu,155
512,back number,花束,155
513,Hafdís Huld,Sofa urtubörn,155
514,"GDRN, Floni, Ra:tio",Lætur mig,155
515,BTS,Euphoria,155
516,Sálin hans Jóns míns,Hjá þér,155
517,"Lagum, Ana Gabriela",Deixa (feat. Ana Gabriela),155
518,nublu,öölaps!,155
519,"Los Ángeles Azules, Pepe Aguilar","Ni Contigo, Ni Sin Ti",154
520,"Marwan Pablo, Molotof",El Gemeza,154
521,Ciro y los Persas,Me Gusta,154
522,Vũ.,Phút Ban Đầu,154
523,"Akhil, Dhvani Bhanushali","Duniyaa (From ""Luka Chuppi"")",154
524,mor ve ötesi,Cambaz,154
525,"Duki, KHEA",She Don't Give a Fo,154
526,Foster The People,Pumped Up Kicks,154
527,André Hazes Jr.,Leef,154
528,Hins Cheung,百年樹木,154
529,Lewis Capaldi,Bruises,153
530,The Kooks,She Moves In Her Own Way,153
531,"Rizky Febian, Aisyah Aziz",Indah Pada Waktunya,153
532,Kabát,Malá dáma,153
533,Eden Hason,שמישהו יעצור אותי,153
534,Amir Dadon,לבחור נכון,153
535,"nublu, gameboy tetris",für Oksana,153
536,"Myke Towers, Farruko, Arcangel, Sech, Zion",Si Se Da - Remix,153
537,La Adictiva Banda San José de Mesillas,En Peligro de Extinción,153
538,LaLa Hsu,你敢不敢,153
539,Sebastian Yatra,No Hay Nadie Más,153
540,Intoxicados,Nunca quise,152
541,"TheOvertunes, Monita Tahalea",Bicara (feat. Monita Tahalea),152
542,"Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",152
543,Lord Huron,The Night We Met,152
544,"nublu, Reket",Mina Ka,152
545,Ezhel,İmkansızım,152
546,Eliad,מסע,152
547,Carin Leon,Me La Avente,151
548,"ZAYN, Sia",Dusk Till Dawn (feat. Sia) - Radio Edit,151
549,Apache 207,Roller,151
550,ONE OK ROCK,The Beginning,151
551,Marwan Pablo,Sindbad,151
552,"Moira Dela Torre, Jason Marvin",Ikaw At Ako,151
553,Polycat,พบกันใหม่,151
554,"Boza, Faster",Lollipop (feat. Faster),151
555,Guzior,Płuca zlepione topami,151
556,XXXTENTACION,Look At Me!,151
557,Lil Peep,Star Shopping,151
558,"Red Band, Full Trunk",Powerful,151
559,Pipa Para Tabaco,Todo Biento,150
560,Post Malone,Circles,150
561,"Drax Project, SIX60",Catching Feelings (feat. SIX60),150
562,"JJ Lin, G.E.M.",Beautiful,150
563,Yüksek Sadakat,Haydi Gel İçelim,150
564,Justin Bieber,Love Yourself,150
565,Queen,Don't Stop Me Now - Remastered 2011,149
566,The Doobie Brothers,Listen to the Music,149
567,"Yovie Widianto, Tulus, Glenn Fredly",Adu Rayu,149
568,Virzha,Tentang Rindu,149
569,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,149
570,"Chino & Nacho, Daddy Yankee",Andas En Mi Cabeza,149
571,"Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")",149
572,Hanan Ben Ari,שמש,149
573,Rhymastic,Nến Và Hoa,148
574,Magnus Haven,Imahe,148
575,Luchè,Non Abbiamo Età,148
576,"Jay Chou, Ashin Chen",Won't Cry,148
577,Hafdís Huld,Ljós,148
578,SIX60,Closer,148
579,"Volbeat, Johan Olsen",For Evigt,148
580,Ben&Ben,Araw-Araw,148
581,"SHAUN, Conor Maynard, Sam Feldt",Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,148
582,Nathan Goshen,מתגעגעת,148
583,DMS,MDMS,148
584,Alan Walker,Faded,147
585,"HONNE, BEKA",Location Unknown ◐ (feat. BEKA) - Brooklyn Session,147
586,Maroon 5,Memories,147
587,BEHM,Hei rakas,147
588,Viktor Sheen,Mráz,147
589,Hindia,Secukupnya,147
